1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
248	1.881100	27.322120	0.218103	0.124416	1.4
249	1.869152	28.140767	0.214469	0.131045	1.4
250	1.823016	28.043901	0.214893	0.079525	1.5
251	2.049114	28.163858	0.214369	0.234002	1.4
252	1.988351	28.814721	0.211568	0.176360	1.4
253	1.830588	29.743012	0.207697	0.151180	1.4
254	1.834308	29.495491	0.208716	0.101363	1.5
255	1.994456	29.301600	0.209520	0.129356	1.4
256	1.844065	30.164418	0.205987	0.141349	1.4
257	1.597843	29.951213	0.206849	0.094910	1.4
258	1.938366	29.716686	0.207805	0.151754	1.6
259	1.880383	29.453407	0.208890	0.220788	1.8
260	1.600433	29.203076	0.209931	0.100184	2.5
261	1.921681	30.179426	0.205926	0.144555	1.4
262	1.802494	29.944931	0.206874	0.192531	1.8
263	1.967846	30.505821	0.204621	0.228030	1.5
264	1.795674	31.469624	0.200863	0.124861	1.5
265	2.067512	32.462903	0.197131	0.094813	1.4
266	1.852494	32.426926	0.197264	0.164272	1.4
267	1.810924	32.158268	0.198261	0.089519	1.4
268	1.886742	32.323528	0.197646	0.179593	1.6
269	1.938006	33.176626	0.194534	0.094459	1.4
270	1.768867	34.017829	0.191560	0.119339	1.4
271	1.855292	34.124273	0.191190	0.065044	1.5
272	2.090775	34.128124	0.191176	0.156526	1.4
273	1.724520	34.429510	0.190137	0.059106	1.5
274	1.731592	34.238804	0.190793	0.050094	1.4
275	2.043893	34.272385	0.190677	0.161383	1.5
276	1.629713	34.121439	0.191200	0.113560	1.4
277	1.805266	34.283368	0.190639	0.060878	1.4
278	2.007863	34.093518	0.191296	0.218201	1.4
279	1.705986	34.736436	0.189090	0.230735	1.5
280	2.286482	34.483711	0.189951	0.107529	1.4
281	1.750570	34.208715	0.190897	0.137138	1.4
282	2.165774	35.071525	0.187960	0.189814	1.4
283	1.813742	34.855226	0.188688	0.118601	1.5
284	1.880882	35.796332	0.185561	0.216269	1.9
285	1.888645	36.752294	0.182490	0.118593	2.3
286	1.587615	37.472452	0.180242	0.086352	2.4
287	1.938762	37.257157	0.180908	0.198455	2.4
288	1.985046	38.177452	0.178095	0.165258	2.3
289	1.694389	39.148303	0.175220	0.163872	1.9
290	1.613317	40.019475	0.172718	0.151068	2.5
291	2.021822	39.750672	0.173483	0.214211	2.1
292	1.451959	40.737686	0.170709	0.104781	1.5
293	1.840092	40.469341	0.171454	0.086893	1.7
294	1.646627	40.702390	0.170807	0.121814	1.4
295	1.916270	40.483934	0.171414	0.081416	1.8
296	1.661671	40.247063	0.172077	0.168181	2.3
297	1.669620	40.218249	0.172158	0.053592	1.5
298	1.919929	40.539122	0.171260	0.109284	1.6
299	1.755698	40.635899	0.170991	0.108431	1.5
300	2.327692	40.384429	0.171692	0.098128	1.5
301	2.166813	40.885494	0.170301	0.149843	1.4
302	1.878717	41.636561	0.168259	0.093739	1.4
303	1.723205	41.396456	0.168907	0.156523	1.5
304	1.744033	41.746086	0.167966	0.102886	1.4
305	1.746433	42.081453	0.167073	0.126056	1.7
306	1.691582	42.479729	0.166025	0.067166	1.4
